fileID|docID|sentID|sentence
20161102151459|0|0|为啥不开记录仪电子狗搜星快，跟电压有关系
20161102151459|0|1|还是信号有干扰呢
20161102151459|1|2|刚去买的保险，车损第三者30万盗抢不计免赔3500平安电话车险
20161102151459|2|3|准备给小三换轮毂了，进口舒适的轮毂太普通的，搞得跟凯美瑞一样，完全不符合三爷的风格
20161102151459|2|4|看中RS5上的5幅枪灰色轮毂，大家说好不好看
20161102151459|2|5|尺寸是19*9J，ET33，装上应该不会碰轮拱，就是会不会暴出来
20161102151459|2|6|有高手解答下呗
20161102151459|3|7|下周三左右要提车，跟各位DD一样??纠结了很久?那天、一个朋友开着小七过来玩?我试了一下?第二天就去定了请各位DD给个意见?因为是新手?谢谢
20161102151459|4|8|我得是10款2.0四驱油耗1块一公里，折算估计是13升百公里，你们的呢
20161102151459|5|9|各们大神来帮下忙，现在真的很纠结，感觉630的空间要比C30大，不管是前排还是后排，中控C30好看点，发动机噪音，630要比C30小，这个我是实车听了的，不知道是不是因为630的发动是DVVT的原因，其他的差不多
20161102151459|5|10|纠结呀，关注C30好长时间了，差点就定车了，630一出2013款让我给犹豫了
20161102151459|5|11|哎谁给我建议呀
20161102151459|6|12|地图多少钱
20161102151459|7|13|东标308自动1.6忧尚，真皮座椅、导航、全车膜、脚垫等小玩意104500价格怎么样
20161102151459|8|14|?想买3?主要是想以后有机会能自驾去西藏
20161102151459|8|15|要是城市开开真的不等你了
20161102151459|8|16|Q3你快点降价吧
20161102151459|8|17|不然要去买B200咯
20161102151459|9|18|我这人买车其实要求也不高，就是实用经济就行
20161102151459|9|19|有朋友推荐我买个微面，我觉得其实微面是挺实惠的，但是老感觉微面有点太不上档次了
20161102151459|9|20|而且说实话就是买个微面的价格，添上一两万足够买个商务车了
20161102151459|9|21|这开出去比微面可强多了
20161102151459|9|22|看了不少国产的，价格最低的基本就在七八万左右
20161102151459|9|23|我也能买的起
20161102151459|9|24|最看中的就是帅客和菱智这俩车的1.6排量的
20161102151459|9|25|其他的价格都比较高了
20161102151459|9|26|而且这俩车空间都是我特别看中的，空间是相当的大
20161102151459|9|27|正常商用还是家用都足够了
20161102151459|9|28|但是总不能俩一起都买啊，但是取舍哪个还是没个准信
20161102151459|9|29|帅客的卖相不错，挺洋气的
20161102151459|9|30|可菱智的质保期却也不能忽视，这可是关系到钱
20161102151459|9|31|大家选车都是怎么选的
20161102151459|9|32|给传授两招呗
20161102151459|9|33|??
20161102151459|10|34|本人11年8T在论坛潜水1年多最近注册了求认证啊
20161102151459|11|35|此视频是上次在小区门口被一新手倒车撞了
20161102151459|11|36|还有人我说是车黑，又说什么角度不对的
20161102151459|11|37|图片已删除图片已删除此视频为本车在四环行驶，不良司机跨两车道出口驶出，还好小三刹车不错，不过后面我的金杯也不错，刹车并变了一车道，我从后镜看差点被追尾了
20161102151459|11|38|上面视频为红绿灯起步，由于有行人未通过起步慢，后面喇叭响起，还好俺C30起步快，3000转起步，到前面一个灯已经提速至80迈
20161102151459|12|39|如果把SC6的头换成金刚2代那样，销量会增加倍，如果有悦翔V3的表，月销量会过万
20161102151459|13|40|注：来源于互联网希望与朋友们互勉
20161102151459|13|41|一、撞击声一种较重的金属铁器撞击的响声，很可能是引擎固定架因长时间严重磨损引起
20161102151459|13|42|当引擎速度变化时就会发生撞击，但也有可能是汽车的前后悬架出现损坏，或者是传动液过少引起的
20161102151459|13|43|二、轻敲声声音类似重敲声，但声响要小，这种声音出现时，车主要想一下是否使用了劣质汽油，如果使用低质汽油还可能出现爆鸣声响
20161102151459|13|44|三、滴答声可能是驱动轴的方向节坏了，也可能是轮胎里的小石块敲打轮胎或风扇叶片弯曲松动造成的
20161102151459|13|45|四、嘶嘶声像气球漏气，大多是空调或冷却系统有毛病，如果是冷却系统出现故障，在车的底部可以看到液体
20161102151459|13|46|另外轮胎大漏气或发动机真空室漏气也会出现这种声音
20161102151459|13|47|五、重敲声像沉闷的敲门声，这种情况大多是发动机内部原因，很可能是因为车辆老化所致，轴承或发动机阀门损害也可引起
20161102151459|13|48|六、啸鸣声大多出现在汽车转弯时，可能是风扇传动带松动或已磨损，有时轮胎气量不足，也出现这种声音
20161102151459|13|49|七、嗡叫声这种声音像蜜蜂发出的声音，它的出现很可能是某零部件松动，发动机底部的塑胶或金属部件及空调或压缩机的固定支架松动最为常见
20161102151459|13|50|八、轰鸣声从车上发出带有一种“呜汪……”的叫声，很可能是轮子里、压缩机里或水泵里的滚珠轴承坏了，也很可能是空调或压缩机出现了故障
20161102151459|13|51|九、变调声主要是电机老化发出的不协调声音
20161102151459|13|52|十、尖叫声很刺耳，通常是刹车有问题
20161102151459|13|53|?
20161102151459|14|54|?????提几个问题：一、你在行车道上正常行驶，突然你的右前方路口一辆车速度很快窜出来，逼迫你踩刹车，而转到你前面时速度却很慢，你这时有什么想法，是否想过你从路口出来是怎样的
20161102151459|14|55|二、在红灯转绿灯时你是第一辆，你用怠速不加油的方式起步，20秒的灯只走了10辆车，你认为你是安全第一
20161102151459|14|56|三、我开着GX7在渺无人烟的沙漠公路上，跑到170你认为是快还是慢四、只有快车和行车两个车道，并且限速40码，车道上车辆不是很多，你在快车道用40码的速度匀速前进，你认为你是快还是慢五、我考驾照时路考，排第一个需调头，在我刚把车头差一点转到正道时，考官“二档”，如果是你怎么做，当我刚挂完二档时考官“三档”，你怎么做，当我挂完三档时考官“下去”，猜下我过了没
20161102151459|14|57|六、其实发过的，绿灯亮，一档加速起步上三档，有回复说他有过一档踩到6000转过，我特意看了下转速表也就瞬间3000多转，你怎么看
20161102151459|14|58|不想试试
20161102151459|14|59|当然只是对新手说的，和我一样驾驶的请飘过
20161102151459|14|60|七、在200米距离下限速40码，你认为是一档二档三档平稳加速省油还是快速切换一档二档到三档省油
20161102151459|14|61|八、从未开过车的媳妇突然说“我要学开车，非学不行”我直接把车停在一条车不多的马路边让媳妇开，她开的非常快当然也就4、50码，你认为她是有驾车的天分还是杀手
20161102151459|14|62|九、当年有部远景的连续剧，看时虽说有点感动，但当时还苦恼于吉利美日的低劣，现在终于明白远景的含义，有没和我一样同看过这部片子的
20161102151459|14|63|上一张喀什的土山图片
20161102151459|15|64|????对3008期待已久，尤其对顶配情有独钟
20161102151459|15|65|不管是车身尺寸大小，还是内饰无一不符合我理想中的要求
20161102151459|15|66|今天终于抽出时间试驾了一把，谈谈感受
20161102151459|15|67|???优点明显：动力充足，车体稳定厚重，行驶中很有安全感
20161102151459|15|68|内饰精致，座椅空间没觉得小，够用
20161102151459|15|69|缺点也同样明显
20161102151459|15|70|车内味道非常大，发动机噪音非常大
20161102151459|15|71|味道时间长了可能散去，但是机器噪音的确大大超出我的想象，感觉有点难以理解
20161102151459|15|72|我请教了一下陪驾的销售顾问，他也挠头，说刚到车时也没太觉得，现在感觉的确有点
20161102151459|15|73|我要求试驾2.0的那款，却被告知只有顶配的有试驾车，只能以后再说了
20161102151459|15|74|????3008是部好车，对我来说她依然充满了诱惑
20161102151459|15|75|试驾之前，我对这款明星动力仰慕已久，现在却有了很大失落
20161102151459|15|76|网上做了N久的功课，自认为找到了最适合自己的，已经打算年内置换回家，现在看来又成了未知数
20161102151459|15|77|也许2.0的更适合我
20161102151459|15|78|动力够么，噪音如何，谁知道呢
20161102151459|16|79|请问28.5W的自动低配置新款宝马X1有天使眼吗
20161102151459|16|80|小弟在这里谢过了
20161102151459|17|81|看到最近C30论坛真是火，明显变成了2派，而不是一致对长城
20161102151459|17|82|我也知道发帖只是牢骚，解决不了问题
20161102151459|17|83|我等P民出现问题只能是怨自己人品不行
20161102151459|17|84|也许我有些言论让厂家生气，或者让那些趾高气昂的C30车主生气，但是论坛是交流的地方，每个人可以发表自己的观点
20161102151459|17|85|对于一些可笑的观点我就不反驳了
20161102151459|17|86|生气就是拿别人的错误惩罚自己
20161102151459|17|87|冲动是魔鬼
20161102151459|17|88|找了个有点深意的话，望各位共勉
20161102151459|17|89|--------------------------------------------起初他们追杀***，我不是***，我不说话；接着他们追杀犹太人，我不是犹太人，我不说话；此后他们追杀工会成员，我不是工会成员，我继续不说话；再后来他们追杀天主教徒，但我是新教教徒，我还是不说话；最后，他们奔我而来，再也没有人站起来为我说话了
20161102151459|17|90|——马丁·尼莫拉牧师
20161102151459|17|91|1945年
20161102151459|17|92|?
20161102151459|18|93|我是13款T5舒适，总觉得音响效果不满意，大家有没有改了的，介绍介绍，谢谢了
20161102151459|19|94|3月低我们这车展，，去了三次，，看中了全新胜达，，最后一次直接去SSSS试车，，交订金，，可惜试驾车没2.4的，，试驾得是2.0T顶配的，，总体感觉不错，，可能店里用顶配车试驾让买主更望顶配发展吧，，最后订了白外黑内的2.4智能，，说要等一个月，，无优惠，送全车太阳膜，，脚垫，，坐垫，，500大洋的油卡，，车要等一个月，，痛苦，，还有最近看的说有致癌物，，真的假的
20161102151459|19|95|害怕
20161102151459|20|96|如题，有没有人办理的
20161102151459|21|97|重庆的308车群296777482来的速度了
20161102151459|22|98|谁能告诉我这是什么情况
20161102151459|23|99|服务超差
20161102151459|24|100|我的小三后屁屁上有一道十公分左右的刮痕，有那个大神推荐款补漆笔，另外我看论坛里的照片为什么只出前几张后面的不显示，
20161102151459|25|101|放弃M4决定买C50大家怎么看.
20161102151459|26|102|今天去4S看看了说有活动手动GL还是GSL不知道，优惠免购车税上牌费送导航，价格是84900，手动带导航铁咕噜不是铝合金的，价格还可以砍免购车税，和上牌费84900，走贷款首付42060，保险买1年4000元，月供包利息1666，可以入手吗
20161102151459|27|103|???谢谢大家，请继续关注事情的进展
20161102151459|27|104|欢迎鹰眼兄有空来聊聊
20161102151459|28|105|公司文件为证
20161102151459|28|106|为
20161102151459|29|107|上图喽～别忘了留言啊
20161102151459|29|108|先看这些吧
20161102151459|29|109|别忘了，留言啊
20161102151459|30|110|??工作真的好累啊
20161102151459|31|111|本人江苏宜兴的，最近要买瑞纳，去SSSS店里看了没有多少优惠
20161102151459|31|112|所以想问问有没有宜兴的，一起去买，好砍价多点的
20161102151459|32|113|看到不少实车到店的贴子，不知道深圳有没有到店的实车
20161102151459|32|114|打算前去做下功课
20161102151459|33|115|清明节小长假，去云南丽江游玩，到了大理不到，一个下坡弯道，速度也有点快
